38908421,69952813,167166,23723901,85137333,167166,46228912,62632322,167166,24,51,11
38908421,70787486,168444,23723901,85972006,168444,47063585,62632322,168444,24,51,11
38908421,71620876,169720,23729157,86800140,169720,47891719,62637578,169720,24,51,11
39418506,72007435,171000,23729157,87696784,171000,48278278,63147663,171000,24,51,11
40364647,72012706,172283,23729157,88648196,172283,48283549,64093804,172283,24,51,11
40862597,72012706,173597,23729157,89146146,173597,48283549,64591754,173597,25,51,11
41887598,72012706,174891,23729157,90171147,174891,48283549,65616755,174891,25,51,11
42925477,72012706,176201,23729157,91209026,176201,48283549,66654634,176201,25,51,11
43957558,72012706,177503,23729157,92241107,177503,48283549,67686715,177503,25,51,11
44091242,72845213,178787,24561664,92374791,178787,48283549,68652906,178787,25,51,11
44091242,73789374,180077,25505825,92374791,180077,48283549,69597067,180077,25,51,11
44091242,74796176,181375,26512627,92374791,181375,48283549,70603869,181375,25,51,11
44091242,75757271,182663,27473722,92374791,182663,48283549,71564964,182663,25,51,11
44091242,76751363,183951,28467814,92374791,183951,48283549,72559056,183951,25,51,11
44091242,77766061,185245,29482512,92374791,185245,48283549,73573754,185245,25,51,11
44091242,78655136,186539,29960439,92785939,186539,48694697,74051681,186539,25,51,11
44091242,79418012,187820,29964889,93544365,187820,49453123,74056131,187820,25,51,11
44091242,80218097,189105,29965700,94343639,189105,50252397,74056942,189105,25,51,11
44289798,80841490,190385,29965700,95165588,190385,50875790,74255498,190385,25,51,11
44881538,81234684,191730,30353614,95762608,191730,50881070,75235152,191730,25,51,11
44886782,82228332,193026,31347262,95767852,193026,50881070,76234044,193026,26,51,11
44886782,83252731,194339,32371661,95767852,194339,50881070,77258443,194339,26,51,11
44886782,84265532,195626,33384462,95767852,195626,50881070,78271244,195626,26,51,11
44886782,85285718,196917,34404648,95767852,196917,50881070,79291430,196917,26,51,11
44886782,86305691,198203,35424621,95767852,198203,50881070,80311403,198203,26,51,11
44886782,87212851,199497,35854233,96245400,199497,51358618,80741015,199497,26,51,11
44886782,88029764,200775,35859448,97057098,200775,52170316,80746230,200775,26,51,11
44886782,88863014,202055,35859448,97890348,202055,53003566,80746230,202055,26,51,11
44886782,89672207,203335,35859448,98699541,203335,53812759,80746230,203335,26,51,11
45127823,90289395,204614,35859448,99557770,204614,54429947,80987271,204614,26,51,11
46123536,90294660,205897,35859448,100558748,205897,54435212,81982984,205897,26,51,11
47142170,90294660,207186,35859448,101577382,207186,54435212,83001618,207186,26,51,11
48159277,90294660,208474,35859448,102594489,208474,54435212,84018725,208474,26,51,11
49197071,90294660,209767,35859448,103632283,209767,54435212,85056519,209767,26,51,11
49487603,90997087,211072,36561875,103922815,211072,54435212,86049478,211072,26,51,11
49487603,91985053,212356,37549841,103922815,212356,54435212,87037444,212356,26,51,11
49487603,92994504,213647,38559292,103922815,213647,54435212,88046895,213647,26,51,11
49487603,93972456,214929,39416097,104043962,214929,54556359,88903700,214929,26,51,11
49487603,94806819,216208,39421365,104873057,216208,55385454,88908968,216208,26,51,11
49487603,95620217,217487,39421365,105686455,217487,56198852,88908968,217487,26,51,11
49487603,96420866,218793,39421365,106487104,218793,56999501,88908968,218793,27,51,11
50023408,96766712,220073,39421365,107368755,220073,57345347,89444773,220073,27,51,11
51006716,96771974,221390,39421365,108357325,221390,57350609,90428081,221390,27,51,11
51998092,96771974,222676,39421365,109348701,222676,57350609,91419457,222676,27,51,11
53002434,96771974,223962,39421365,110353043,223962,57350609,92423799,223962,27,51,11
53695957,97068501,225253,39717892,111046566,225253,57350609,93413849,225253,27,51,11
53695957,98059920,226548,40709311,111046566,226548,57350609,94405268,226548,27,51,11
53701216,98985650,227842,41478216,111208650,227842,57507434,95179432,227842,27,51,11
53701216,99763975,229122,41478216,111986975,229122,58285759,95179432,229122,27,51,11
53836351,100444222,230405,41483474,112797099,230405,58960748,95319825,230405,27,51,11
54619922,100618164,231693,41652156,113585930,231693,58966008,96272078,231693,27,51,11
54619922,101438270,232984,41948773,114109419,232984,59489497,96568695,232984,28,51,11
54619922,102181866,234277,41949680,114852108,234277,60232186,96569602,234277,28,51,11
54625178,102666217,235536,42092661,115198734,235536,60573556,96717839,235536,28,52,11
54625178,103538449,236835,42964893,115198734,236835,60573556,97590071,236835,28,52,11
54625178,104561165,238129,43987609,115198734,238129,60573556,98612787,238129,28,52,11
54625178,105620919,239428,45047363,115198734,239428,60573556,99672541,239428,28,52,11
54625178,106613132,240714,46039576,115198734,240714,60573556,100664754,240714,28,52,11
54625178,107635348,242002,47061792,115198734,242002,60573556,101686970,242002,28,52,11
54625178,108674521,243295,48100965,115198734,243295,60573556,102726143,243295,28,52,11
54625178,109471797,244587,48133127,115963848,244587,61338670,102758305,244587,28,52,11
55612054,109480393,245869,48138385,116954062,245869,61342008,103750439,245869,28,52,11
56643423,109480393,247196,48138385,117985431,247196,61342008,104781808,247196,28,52,11
57123544,109485639,248523,48138385,118470798,248523,61347254,105261929,248523,28,52,11
57592550,109900617,249807,48553363,118939804,249807,61347254,106145913,249807,28,52,11
57592550,110453188,251130,49105934,118939804,251130,61347254,106698484,251130,28,53,11
57592550,111420351,252429,50073097,118939804,252429,61347254,107665647,252429,28,53,11
57592550,112449807,253734,51102553,118939804,253734,61347254,108695103,253734,28,53,11
57592550,113396621,255024,51793484,119195687,255024,61603137,109386034,255024,28,53,11
57592550,114218990,256307,51798738,120012802,256307,62420252,109391288,256307,28,53,11
57592550,115050019,257586,51798738,120843831,257586,63251281,109391288,257586,28,53,11
57592550,115880204,258864,51798738,121674016,258864,64081466,109391288,258864,28,53,11
57592550,116659010,260147,51798738,122452822,260147,64860272,109391288,260147,28,53,11
57592550,117454956,261426,51798738,123248768,261426,65656218,109391288,261426,28,53,11
57592550,118221736,262705,51798738,124015548,262705,66422998,109391288,262705,28,53,11
57592550,119025504,264007,51798738,124819316,264007,67226766,109391288,264007,28,53,11
58295528,119231708,265287,51798738,125728498,265287,67432970,110094266,265287,28,53,11
59352637,119236910,266642,51798738,126790809,266642,67438172,111151375,266642,28,53,11
60048623,119543956,267941,52105784,127486795,267941,67438172,112154407,267941,28,53,11
60053844,120543008,269231,53104836,127492016,269231,67438172,113158680,269231,28,53,11
60053888,121525834,270524,54087662,127492060,270524,67438172,114141550,270524,28,53,11
